               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.5216,              10.452,              4.4565,           0.0072816,            0.027778,           0.0080492,           0.0017447,              4.6301,              172.61,              4.7546,            0.070099,           0.0033223,           0.0033223
                   1,              4.5805,              7.0447,              4.2029,             0.25192,            0.083333,           0.0015585,          0.00031762,              4.7147,              12.072,                3.93,            0.040033,           0.0065898,           0.0065898
                   2,              3.7538,               4.488,              3.4916,             0.76784,            0.051643,            0.033808,           0.0071954,              3.3868,              18.918,              3.2129,           0.0099012,           0.0097912,           0.0097912
                   3,              2.8254,              2.6041,              2.2717,             0.53433,             0.25852,              0.2251,            0.082443,              2.4241,              1.8014,                 1.9,            0.009703,            0.009703,            0.009703
                   4,                2.35,              1.9065,                1.79,              0.6442,             0.37081,             0.34723,             0.13797,              2.0615,              1.7435,              1.6404,            0.009703,            0.009703,            0.009703
                   5,              2.1609,              1.6901,              1.6327,             0.65293,             0.41304,             0.40781,             0.19648,              1.8507,              1.3116,              1.5063,            0.009604,            0.009604,            0.009604
                   6,              2.0499,              1.5392,              1.5154,             0.72762,              0.4239,             0.45117,             0.22697,              1.7548,              1.5713,              1.4041,            0.009505,            0.009505,            0.009505
                   7,              1.9145,              1.3804,              1.4069,             0.79756,             0.33234,             0.42903,             0.21038,                1.79,              1.2744,              1.3573,            0.009406,            0.009406,            0.009406
                   8,              1.8145,              1.2904,              1.3927,             0.47848,             0.55803,             0.50835,             0.26297,              1.6358,               1.173,              1.3344,            0.009307,            0.009307,            0.009307
                   9,              1.7923,              1.2314,              1.3321,             0.65448,             0.56474,             0.57077,             0.31046,              1.5687,             0.96933,              1.2673,            0.009208,            0.009208,            0.009208
                  10,              1.6985,              1.1614,              1.3157,             0.70081,             0.59471,             0.57278,             0.31016,              1.5232,             0.97525,              1.2476,            0.009109,            0.009109,            0.009109
                  11,              1.7014,              1.1362,              1.2819,             0.72133,             0.64664,             0.62808,             0.36179,              1.4271,             0.90166,              1.1945,             0.00901,             0.00901,             0.00901
                  12,              1.6141,              1.0664,              1.2587,             0.80949,              0.6131,             0.63446,             0.35877,              1.4562,             0.86669,              1.2083,            0.008911,            0.008911,            0.008911
                  13,              1.5816,              1.0283,              1.2449,             0.78083,             0.63624,             0.63612,             0.37052,              1.3829,             0.84042,              1.1505,            0.008812,            0.008812,            0.008812
                  14,              1.5829,               1.021,                1.23,             0.78235,             0.61163,             0.64518,             0.37411,              1.4607,             0.86665,              1.1965,            0.008713,            0.008713,            0.008713
                  15,               1.537,              0.9864,              1.2243,             0.73606,             0.60224,             0.64736,             0.38697,               1.355,             0.87413,               1.148,            0.008614,            0.008614,            0.008614
                  16,              1.5345,             0.97687,              1.2091,             0.76376,             0.62388,             0.65636,             0.36918,              1.3895,             0.81384,              1.1414,            0.008515,            0.008515,            0.008515
                  17,              1.4896,             0.93489,              1.1787,             0.80773,             0.61185,             0.68518,             0.39452,              1.3015,             0.77335,               1.125,            0.008416,            0.008416,            0.008416
                  18,              1.5096,             0.94086,              1.1811,             0.81793,             0.62451,             0.67481,             0.40453,              1.3353,             0.76481,              1.1226,            0.008317,            0.008317,            0.008317
                  19,              1.4503,             0.89725,              1.1691,             0.81194,             0.63389,             0.67175,             0.40859,              1.3377,             0.77475,              1.1071,            0.008218,            0.008218,            0.008218
                  20,              1.4688,             0.93058,              1.1835,              0.8136,             0.63376,              0.6819,             0.42512,              1.2836,             0.75718,              1.1048,            0.008119,            0.008119,            0.008119
                  21,              1.4384,             0.88816,              1.1643,             0.75426,             0.67944,             0.68334,             0.40458,                1.34,             0.77146,              1.1139,             0.00802,             0.00802,             0.00802
                  22,              1.4197,              0.8715,              1.1661,             0.77101,             0.64137,              0.6839,             0.41763,              1.2668,             0.73672,              1.0839,            0.007921,            0.007921,            0.007921
                  23,               1.409,             0.85752,              1.1435,             0.80975,             0.64953,              0.6697,             0.39262,              1.3021,             0.74452,              1.0828,            0.007822,            0.007822,            0.007822
                  24,              1.3805,             0.84802,              1.1214,             0.80115,             0.69462,             0.73468,             0.44353,              1.2277,             0.68987,              1.0639,            0.007723,            0.007723,            0.007723
                  25,              1.3798,             0.83822,              1.1163,             0.84624,             0.66823,             0.73747,             0.44777,              1.2194,             0.68496,              1.0421,            0.007624,            0.007624,            0.007624
                  26,              1.3921,             0.84336,              1.1257,             0.75559,             0.69257,             0.71338,             0.43658,              1.1936,             0.69777,              1.0454,            0.007525,            0.007525,            0.007525
                  27,              1.3849,             0.82838,              1.1162,             0.80729,             0.65043,             0.70542,             0.42111,              1.2385,             0.72267,              1.0613,            0.007426,            0.007426,            0.007426
                  28,              1.3563,             0.82809,               1.121,             0.83381,             0.68219,             0.74323,               0.448,              1.2063,             0.66168,              1.0441,            0.007327,            0.007327,            0.007327
                  29,              1.3637,             0.82006,              1.1209,             0.81872,             0.71098,             0.74198,             0.46113,              1.1743,              0.6459,              1.0312,            0.007228,            0.007228,            0.007228
                  30,              1.3295,             0.79831,              1.1078,             0.78244,             0.69811,             0.73666,             0.44909,              1.1981,             0.64456,              1.0369,            0.007129,            0.007129,            0.007129
                  31,              1.3014,             0.77858,              1.0976,              0.8351,             0.72835,             0.76102,             0.45055,              1.1799,             0.63503,              1.0277,             0.00703,             0.00703,             0.00703
                  32,              1.3092,             0.77424,               1.095,             0.79797,             0.73721,             0.75396,             0.44484,              1.1721,             0.62634,              1.0386,            0.006931,            0.006931,            0.006931
                  33,              1.3168,             0.76444,               1.084,             0.82857,               0.697,             0.75244,             0.45095,              1.1519,             0.62601,              1.0265,            0.006832,            0.006832,            0.006832
                  34,              1.3043,              0.7797,               1.095,              0.8434,             0.68751,             0.73541,             0.45863,               1.172,             0.64398,              1.0337,            0.006733,            0.006733,            0.006733
