               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2841,              1.8132,              1.0116,                   0,                   0,                   0,                   0,              1.1594,             0.68815,             0.93092,            0.070099,           0.0033223,           0.0033223
                   1,              1.3546,              1.0014,              1.0051,                   0,                   0,                   0,                   0,              1.2696,             0.77641,             0.95732,            0.040033,           0.0065898,           0.0065898
                   2,              1.4245,              1.0469,              1.0139,                   0,                   0,                   0,                   0,              1.4901,              1.0701,             0.99165,           0.0099012,           0.0097912,           0.0097912
                   3,              1.5189,              1.1134,              1.0415,                   0,                   0,                   0,                   0,              1.3759,              1.0313,             0.97629,            0.009703,            0.009703,            0.009703
                   4,              1.4989,              1.0252,              1.0477,                   0,                   0,                   0,                   0,              1.5256,             0.94743,              1.0908,            0.009703,            0.009703,            0.009703
                   5,              1.5028,             0.99065,              1.0616,                   0,                   0,                   0,                   0,              1.3627,             0.87664,             0.98575,            0.009604,            0.009604,            0.009604
                   6,              1.5081,              0.9824,              1.0609,                   0,                   0,                   0,                   0,              1.2889,             0.76045,             0.97105,            0.009505,            0.009505,            0.009505
                   7,              1.4663,             0.92753,              1.0367,                   0,                   0,                   0,                   0,               1.296,             0.75377,              0.9643,            0.009406,            0.009406,            0.009406
                   8,              1.4274,             0.88148,              1.0438,                   0,                   0,                   0,                   0,              1.2891,             0.73283,             0.96363,            0.009307,            0.009307,            0.009307
                   9,               1.412,             0.87734,              1.0172,                   0,                   0,                   0,                   0,              1.2744,             0.81571,             0.97656,            0.009208,            0.009208,            0.009208
                  10,              1.3893,             0.86218,              1.0303,                   0,                   0,                   0,                   0,              1.2757,             0.78936,             0.98188,            0.009109,            0.009109,            0.009109
                  11,              1.3972,             0.84943,              1.0173,                   0,                   0,                   0,                   0,              1.2645,             0.72057,             0.96693,             0.00901,             0.00901,             0.00901
                  12,              1.3446,             0.79427,              1.0056,                   0,                   0,                   0,                   0,              1.2214,              0.6678,             0.95911,            0.008911,            0.008911,            0.008911
                  13,              1.3368,             0.77555,              1.0024,                   0,                   0,                   0,                   0,              1.2613,             0.69106,             0.96478,            0.008812,            0.008812,            0.008812
                  14,              1.3331,             0.80194,              1.0054,                   0,                   0,                   0,                   0,              1.2177,             0.63731,             0.94972,            0.008713,            0.008713,            0.008713
                  15,              1.3179,             0.77605,              1.0045,                   0,                   0,                   0,                   0,              1.1886,             0.64045,             0.93696,            0.008614,            0.008614,            0.008614
                  16,              1.2993,             0.74895,             0.99576,                   0,                   0,                   0,                   0,              1.1969,             0.61423,             0.94575,            0.008515,            0.008515,            0.008515
                  17,              1.2961,             0.74847,             0.98205,                   0,                   0,                   0,                   0,              1.1659,             0.62266,             0.93429,            0.008416,            0.008416,            0.008416
                  18,               1.329,             0.76888,              1.0011,                   0,                   0,                   0,                   0,                1.17,             0.60906,             0.94733,            0.008317,            0.008317,            0.008317
                  19,              1.2815,             0.72634,             0.98965,                   0,                   0,                   0,                   0,               1.173,             0.60488,             0.92469,            0.008218,            0.008218,            0.008218
                  20,              1.2973,               0.748,             0.99533,                   0,                   0,                   0,                   0,              1.1833,             0.65627,             0.94075,            0.008119,            0.008119,            0.008119
                  21,              1.2644,             0.72319,              0.9841,                   0,                   0,                   0,                   0,              1.1559,             0.58846,             0.92513,             0.00802,             0.00802,             0.00802
                  22,              1.2607,             0.72029,             0.98903,                   0,                   0,                   0,                   0,              1.1279,             0.58314,             0.92021,            0.007921,            0.007921,            0.007921
                  23,              1.2513,             0.71157,             0.98012,                   0,                   0,                   0,                   0,              1.1495,             0.59746,             0.93507,            0.007822,            0.007822,            0.007822
                  24,              1.2406,             0.70598,             0.97017,                   0,                   0,                   0,                   0,              1.1458,             0.59683,             0.92816,            0.007723,            0.007723,            0.007723
                  25,              1.2315,             0.70209,             0.96733,                   0,                   0,                   0,                   0,              1.1309,             0.57843,             0.92332,            0.007624,            0.007624,            0.007624
                  26,              1.2562,             0.70916,             0.98025,                   0,                   0,                   0,                   0,               1.109,               0.573,             0.91881,            0.007525,            0.007525,            0.007525
                  27,              1.2521,             0.69792,             0.97538,                   0,                   0,                   0,                   0,                1.11,             0.56618,             0.92466,            0.007426,            0.007426,            0.007426
                  28,              1.2155,             0.68953,             0.96539,                   0,                   0,                   0,                   0,               1.113,             0.55744,             0.91404,            0.007327,            0.007327,            0.007327
                  29,              1.2308,             0.68555,             0.97551,                   0,                   0,                   0,                   0,              1.1041,             0.55118,             0.91053,            0.007228,            0.007228,            0.007228
