               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.6527,              15.139,              5.3392,           0.0050289,                0.01,            0.000959,          0.00016056,                   0,                   0,                   0,            0.070113,           0.0033208,           0.0033208
                   1,              5.2448,              8.9227,              5.0923,             0.53638,            0.040761,             0.01043,           0.0029983,                   0,                   0,                   0,            0.040047,           0.0065883,           0.0065883
                   2,              4.0124,              4.5589,              3.9598,             0.39183,             0.18959,             0.07346,            0.019328,                   0,                   0,                   0,            0.009915,           0.0097897,           0.0097897
                   3,              3.2638,              3.1638,              2.8419,             0.46822,             0.19026,              0.1693,            0.060177,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.8962,              2.5691,              2.4335,             0.26737,             0.26168,             0.24235,            0.093537,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.6166,               2.231,              2.1494,             0.72871,             0.20709,             0.24551,             0.11893,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.5669,              2.0497,               2.056,             0.64432,             0.33729,             0.33213,             0.14398,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.4664,              1.9634,              1.9811,             0.75687,             0.43666,             0.45464,             0.20668,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.3659,               1.857,              1.8783,             0.71195,             0.40133,             0.42224,             0.20678,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.2284,              1.7522,              1.8331,             0.82216,             0.34887,             0.44995,             0.21957,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.2363,              1.6965,              1.7677,             0.85522,             0.30721,             0.41012,             0.20983,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.1785,               1.661,              1.7706,             0.50615,             0.37062,              0.4073,             0.19552,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.1702,               1.607,              1.7511,             0.56285,             0.49421,             0.49256,             0.24433,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.1191,              1.5342,              1.6808,             0.61989,              0.5256,             0.56325,             0.27486,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.0877,              1.5114,              1.7191,              0.5894,             0.47709,             0.51678,             0.26213,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,               2.058,              1.4653,              1.6961,             0.61952,             0.51383,             0.55414,             0.28338,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.0383,              1.4219,              1.6695,              0.6161,             0.55999,             0.56628,             0.29141,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.9826,              1.3938,               1.641,             0.59213,             0.60405,             0.62483,             0.33213,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.0024,              1.3825,              1.6281,             0.71285,             0.59716,             0.65065,             0.35585,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.9774,              1.3611,              1.6431,              0.7485,             0.57896,             0.61418,              0.3549,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.9708,              1.3874,              1.6206,             0.77949,             0.63502,             0.67627,             0.37889,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.9221,              1.3084,              1.5813,             0.64877,             0.61584,             0.64666,             0.35852,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.9324,              1.3173,              1.5904,               0.721,             0.54931,             0.62562,             0.31677,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.8992,              1.2862,              1.5682,             0.73155,             0.66434,             0.68697,             0.36809,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.8447,              1.2298,               1.568,             0.73546,              0.6652,              0.6924,             0.37942,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,               1.875,              1.2497,              1.5772,             0.76831,             0.63799,             0.67467,             0.38022,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,                1.88,              1.2597,               1.565,             0.76487,              0.6084,              0.6544,             0.36797,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.8243,              1.1984,              1.5346,              0.7654,             0.65576,             0.67896,             0.37499,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.8555,              1.1909,              1.5589,             0.70397,             0.62478,             0.65442,             0.37874,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.8434,               1.193,              1.5472,             0.76912,             0.65184,             0.69954,             0.40076,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,               1.804,               1.146,              1.5078,             0.81651,             0.63162,             0.68711,             0.38178,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.8063,              1.1572,              1.5241,             0.69881,             0.64242,             0.67125,             0.38121,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.8064,              1.1609,              1.5244,             0.80418,             0.67039,             0.70497,             0.41828,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.8219,                1.17,              1.5049,             0.82238,              0.6739,             0.72801,             0.41891,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.7749,              1.1442,              1.5375,             0.77491,             0.68698,             0.72047,             0.41406,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.7711,              1.1364,              1.5111,             0.73189,             0.63065,             0.67919,             0.36923,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.7263,              1.1041,              1.4935,             0.75995,             0.72163,             0.72487,             0.40739,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.7449,              1.0999,              1.5043,             0.78709,             0.70804,             0.74032,             0.43298,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.7163,               1.074,              1.4816,             0.77791,             0.69235,             0.73104,             0.42319,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.7372,              1.0905,              1.4989,             0.79672,             0.69537,              0.7384,             0.43201,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.7026,               1.061,               1.484,             0.75613,              0.6857,             0.71399,              0.4131,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.7314,              1.0708,              1.4736,              0.7981,             0.69721,             0.74073,             0.43327,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.6737,              1.0325,              1.4615,             0.84448,             0.70737,             0.75639,             0.43984,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.6778,              1.0341,              1.4667,             0.76327,             0.72391,             0.74609,             0.44127,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.7067,               1.067,              1.4752,             0.77566,             0.73074,             0.75229,             0.44425,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.6635,              1.0281,              1.4765,             0.83726,             0.70838,             0.76456,             0.45122,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.6855,              1.0492,              1.4551,             0.81491,             0.72452,             0.76262,             0.46121,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,               1.703,              1.0451,              1.4846,             0.81706,             0.74047,             0.78389,             0.45676,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.6519,              1.0051,              1.4451,             0.83248,             0.71518,             0.77101,             0.45799,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,               1.626,             0.98357,              1.4335,              0.7873,             0.72195,             0.75784,              0.4494,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.6421,              1.0027,              1.4276,             0.78662,             0.71285,             0.76782,             0.45121,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.6401,             0.98729,              1.4282,             0.81075,             0.73951,             0.76143,             0.44761,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6663,              1.0097,              1.4438,             0.81078,             0.74495,             0.76076,             0.44933,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.6374,             0.99751,              1.4444,              0.7992,              0.7472,             0.78761,             0.46749,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,               1.657,             0.99926,              1.4346,             0.77365,             0.76648,             0.77644,             0.45725,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.6427,             0.99698,              1.4535,             0.83118,             0.72488,             0.77883,             0.45471,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.6335,               1.005,              1.4581,             0.79045,             0.74852,             0.76859,             0.46083,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.5854,             0.96352,              1.4121,             0.83641,             0.70944,             0.77239,             0.46358,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.5799,              0.9645,              1.4241,             0.82896,             0.72608,             0.75649,             0.46143,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.6141,             0.98878,               1.404,             0.84943,             0.76123,             0.79268,             0.48295,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.5709,             0.93466,                1.39,             0.82017,             0.73397,             0.77383,             0.46735,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
