               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.7348,              16.116,               5.296,          2.6784e-05,                0.02,          0.00011651,          2.3155e-05,                   0,                   0,                   0,            0.070113,           0.0033208,           0.0033208
                   1,              5.2462,              9.6868,              5.1185,            0.066379,             0.07801,            0.016657,           0.0048692,                   0,                   0,                   0,            0.040047,           0.0065883,           0.0065883
                   2,              3.5867,              3.9611,              3.2993,             0.17524,             0.22848,             0.14169,            0.045538,                   0,                   0,                   0,            0.009915,           0.0097897,           0.0097897
                   3,              2.9721,              2.7371,              2.4615,             0.56964,             0.26106,             0.25373,             0.10444,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.6175,              2.2245,              2.0856,              0.3532,             0.35358,             0.29813,             0.13008,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.3648,               1.894,              1.8529,             0.73342,              0.3774,             0.41075,             0.18092,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.2921,              1.7568,              1.7551,             0.46181,             0.44747,             0.45012,             0.23332,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1878,              1.6111,              1.7228,             0.78409,              0.3981,             0.43008,             0.22102,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.1281,              1.5634,              1.6282,             0.67827,             0.52222,             0.55475,             0.27349,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.0086,              1.4325,              1.6152,             0.67631,             0.59671,             0.58559,             0.32139,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.9758,              1.3783,              1.5549,             0.75249,              0.5691,             0.62423,             0.34793,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.9265,              1.3671,              1.5368,             0.66429,             0.60471,             0.60594,              0.3337,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.9176,              1.3153,              1.5332,             0.73682,             0.60057,             0.61453,             0.34509,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.8594,              1.2408,              1.4755,             0.69239,             0.60624,             0.61202,             0.34522,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.8556,              1.2503,              1.5073,             0.73639,             0.62549,             0.65017,             0.37759,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
