               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.0002,              8.7968,              2.8785,             0.14471,            0.067368,            0.059933,            0.023828,                   0,                   0,                   0,            0.070113,           0.0033208,           0.0033208
                   1,              2.1333,              2.5084,              1.5378,             0.57082,             0.46842,             0.46367,              0.2513,                   0,                   0,                   0,            0.040047,           0.0065883,           0.0065883
                   2,              1.9743,              1.8334,              1.4218,             0.60633,             0.45157,             0.44268,              0.2436,                   0,                   0,                   0,            0.009915,           0.0097897,           0.0097897
                   3,               2.003,              1.7494,              1.4047,              0.6104,             0.53615,             0.54864,             0.31993,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,               1.993,              1.5378,              1.4005,              0.6401,              0.5363,             0.52252,             0.29009,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9211,              1.4089,              1.3738,             0.75184,             0.56927,             0.60794,             0.35315,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.9412,              1.3634,              1.3673,             0.69311,             0.59435,             0.60058,             0.34496,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.8995,              1.3378,              1.3754,             0.68903,             0.50618,             0.49719,             0.30057,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,               1.873,              1.3076,              1.3454,             0.71077,             0.63776,             0.65215,             0.37989,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.7816,              1.2057,               1.332,             0.72321,             0.59358,             0.61818,             0.35215,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.7777,              1.1841,              1.3222,             0.74638,             0.64676,             0.66862,             0.36808,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.7653,              1.1891,              1.3164,              0.7949,             0.64154,             0.67362,             0.40426,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.7504,              1.1482,              1.3054,             0.80406,              0.6529,             0.69771,             0.41976,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.7067,              1.0911,              1.2782,             0.81371,             0.64307,             0.69901,             0.41043,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.7179,              1.0992,               1.308,             0.74557,             0.65885,             0.69824,             0.42703,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.6738,              1.0545,              1.2772,             0.78367,             0.69794,             0.72513,             0.43451,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.6668,               1.034,              1.2779,              0.8291,             0.68728,             0.74019,             0.44588,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,                1.67,              1.0423,              1.2784,              0.7858,              0.7012,             0.72527,             0.44204,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.6509,              1.0334,              1.2693,             0.80075,              0.6655,             0.73178,             0.42926,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.6237,              1.0008,              1.2718,             0.77504,             0.74129,             0.75036,             0.45551,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,                1.64,              1.0178,              1.2597,             0.79871,              0.7066,              0.7472,              0.4519,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               1.614,             0.98487,               1.248,             0.79115,              0.7363,             0.74672,             0.46095,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.6151,             0.97078,              1.2519,             0.79438,              0.6835,             0.72134,             0.44866,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.5862,              0.9664,              1.2372,             0.82252,              0.7271,             0.75571,             0.47024,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.5576,             0.91876,              1.2355,             0.80311,             0.70803,             0.75902,             0.46291,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.5705,             0.93651,              1.2477,             0.83687,             0.74862,             0.76501,             0.46843,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.5757,             0.93852,              1.2371,             0.84577,             0.71209,             0.77262,             0.49259,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.5391,             0.91235,               1.228,             0.79496,             0.73325,             0.75849,             0.47574,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.5581,             0.91426,              1.2363,             0.85803,             0.73336,             0.76843,             0.47995,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.5534,             0.90944,              1.2369,             0.84899,              0.7513,             0.78528,             0.49485,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
