               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.5709,              2.4648,              1.2888,             0.79715,             0.57953,             0.60278,             0.37188,                   0,                   0,                   0,            0.070096,           0.0033227,           0.0033227
                   1,              1.6133,              1.3642,              1.2613,             0.80104,             0.57216,              0.6087,             0.35267,                   0,                   0,                   0,            0.040052,           0.0066121,           0.0066121
                   2,              1.7785,              1.4677,              1.3231,              0.8585,              0.4867,             0.52286,             0.30673,                   0,                   0,                   0,            0.009964,           0.0098575,           0.0098575
                   3,              1.8808,              1.4752,              1.3269,             0.53797,             0.48309,             0.51105,             0.28099,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   4,              1.8944,              1.3345,              1.3664,             0.67338,             0.57062,              0.5856,             0.33349,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   5,              1.8676,              1.2927,              1.3538,             0.75995,             0.54964,             0.60396,             0.35184,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   6,              1.8367,              1.2656,              1.3651,             0.66782,             0.57251,             0.58216,             0.35095,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              1.7911,              1.1911,              1.3328,             0.58903,             0.59779,             0.60387,             0.35748,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              1.7463,              1.1395,              1.3332,             0.78731,              0.5881,             0.63829,             0.36502,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              1.7446,              1.1347,              1.3119,             0.68818,             0.60683,             0.63131,             0.36096,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              1.7096,              1.0807,              1.3073,             0.76914,              0.6235,             0.67521,             0.39568,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              1.6855,              1.0482,              1.2813,             0.69766,             0.61525,             0.65035,             0.38863,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              1.6691,              1.0471,              1.2832,             0.75649,             0.62313,             0.66243,             0.39049,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              1.6857,              1.0328,              1.3011,             0.73727,             0.67158,             0.67631,              0.3971,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              1.6621,              1.0241,              1.2947,             0.67138,             0.58845,             0.62921,             0.37294,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              1.6131,             0.98994,               1.264,             0.73044,             0.67853,             0.71008,             0.42755,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,               1.599,             0.96206,              1.2684,             0.76121,             0.71288,              0.7114,             0.40289,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              1.6347,             0.97868,              1.2779,             0.72342,             0.70383,             0.71739,             0.43625,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              1.5944,             0.93676,              1.2556,             0.76534,             0.70125,             0.72425,             0.44929,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              1.5665,             0.92491,              1.2539,             0.82915,             0.66741,             0.71706,             0.43374,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,               1.559,             0.93291,              1.2475,             0.76305,             0.72724,              0.7437,             0.44836,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              1.5682,             0.90661,              1.2441,             0.75331,             0.67302,             0.70918,             0.43177,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,               1.558,             0.89565,               1.247,             0.77698,             0.70326,             0.72659,             0.44217,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              1.5382,             0.88769,              1.2391,             0.79443,             0.71489,             0.74435,             0.45961,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              1.5459,             0.88865,              1.2529,             0.81363,             0.69274,             0.72891,             0.44146,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              1.5075,             0.86273,              1.2407,             0.82365,             0.73268,             0.76115,             0.45792,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              1.5169,             0.86474,              1.2362,             0.78008,             0.72384,             0.75758,             0.45583,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              1.4798,             0.84075,              1.2256,             0.78446,             0.70523,             0.74534,             0.45266,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              1.5229,             0.87021,              1.2325,             0.79018,              0.7387,             0.76043,             0.46467,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              1.4932,              0.8553,              1.2258,             0.77053,             0.72653,              0.7447,             0.46884,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              1.4689,             0.82796,              1.2235,             0.76178,             0.69719,             0.72816,             0.43707,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  31,              1.4459,             0.82078,              1.2093,             0.81557,              0.7367,             0.76542,             0.48446,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  32,              1.4842,             0.82415,              1.2267,             0.87773,             0.72346,             0.77097,             0.47233,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  33,              1.4326,             0.79733,              1.2037,             0.79194,             0.75466,             0.77336,             0.47676,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  34,              1.4759,             0.82264,              1.2108,             0.80166,             0.72319,             0.76769,             0.48167,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  35,              1.4043,             0.80727,              1.2032,              0.8187,             0.73269,             0.76482,             0.47578,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  36,              1.4578,              0.7968,               1.212,             0.79709,              0.7435,             0.76524,             0.47742,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  37,              1.4186,             0.79208,              1.1985,             0.86003,             0.73612,             0.77941,             0.48619,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  38,              1.4464,              0.8051,              1.2186,             0.85063,             0.74792,             0.78312,             0.48213,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  39,              1.4232,             0.78809,              1.2112,             0.79554,             0.75007,             0.77038,             0.48863,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  40,              1.3988,             0.76078,              1.1965,              0.8291,             0.77183,             0.78932,             0.49761,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  41,              1.3956,              0.7676,              1.1943,             0.81732,             0.74896,             0.76543,             0.48849,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  42,              1.3688,             0.74875,              1.1912,             0.80426,               0.757,             0.77213,             0.49255,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  43,              1.3986,             0.77069,              1.1858,             0.81901,             0.74837,             0.78114,             0.49434,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  44,               1.387,             0.76098,               1.185,             0.83248,             0.75657,             0.78388,             0.50749,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  45,              1.3978,             0.75932,               1.196,             0.84772,             0.76217,             0.79375,             0.50619,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  46,              1.3751,             0.75498,              1.1991,              0.8409,             0.76296,              0.7902,             0.50106,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  47,               1.358,             0.73064,              1.1851,             0.84886,             0.74774,             0.79433,             0.49863,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  48,              1.3803,             0.75721,              1.1998,             0.85499,             0.74467,             0.79321,             0.50232,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  49,              1.3701,             0.74184,              1.1891,             0.83097,              0.7604,             0.78927,             0.50117,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  50,              1.3487,             0.72132,              1.1849,             0.86055,             0.75348,             0.79249,             0.50688,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                  51,              1.3432,             0.71975,              1.1775,              0.8356,             0.76553,             0.78574,             0.50225,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  52,              1.3299,             0.70909,              1.1782,             0.84919,             0.74574,              0.7828,             0.49839,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  53,              1.3527,             0.72337,              1.1753,             0.84493,             0.75746,             0.79282,             0.51444,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                  54,              1.3483,              0.7185,              1.1706,             0.84926,              0.7734,             0.79391,             0.50387,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                  55,              1.3401,             0.71777,              1.1772,             0.83467,             0.77784,             0.80218,              0.5058,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  56,              1.3106,              0.7073,              1.1666,             0.83164,             0.78834,             0.80319,             0.50832,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  57,              1.3291,             0.70741,              1.1702,              0.8675,             0.77249,             0.80856,               0.516,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                  58,              1.3558,             0.71842,              1.1782,             0.83121,             0.78843,             0.80166,             0.51017,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  59,                1.32,             0.69653,              1.1725,             0.85181,             0.76573,              0.7979,              0.5131,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                  60,              1.3268,             0.70778,               1.176,             0.86878,              0.7661,              0.8064,             0.51805,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                  61,              1.3293,              0.7107,              1.1708,             0.87411,             0.76165,             0.81017,             0.52567,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  62,              1.2897,             0.68549,              1.1727,             0.82984,             0.75914,             0.79756,             0.51558,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                  63,               1.297,              0.6946,              1.1604,             0.82415,             0.76815,             0.79803,             0.51384,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                  64,               1.315,             0.69078,              1.1684,             0.84309,             0.76073,             0.80399,             0.52582,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
