               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.5709,              2.4648,              1.2888,             0.79715,             0.57953,             0.60278,             0.37188,                   0,                   0,                   0,            0.070096,           0.0033227,           0.0033227
                   1,              1.6092,              1.3801,              1.2609,             0.75992,             0.54423,              0.5787,             0.35288,                   0,                   0,                   0,             0.04003,           0.0065901,           0.0065901
                   2,              1.7837,              1.4628,              1.3249,             0.79576,             0.53373,             0.57392,              0.3293,                   0,                   0,                   0,           0.0098981,           0.0097916,           0.0097916
                   3,              1.8939,              1.4921,              1.3446,             0.62247,             0.47729,             0.48786,             0.27527,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9038,              1.3862,                1.37,             0.76764,             0.48776,             0.52806,             0.31089,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.8894,              1.3174,              1.3646,              0.7752,             0.52172,             0.58633,             0.33767,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.8326,              1.2649,               1.361,             0.65145,             0.56533,             0.56732,             0.32812,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.7996,              1.1932,              1.3358,             0.54988,              0.5583,             0.51097,              0.2849,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.7473,              1.1666,              1.3308,             0.76766,             0.55715,              0.6096,             0.35259,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.7463,              1.1394,                1.31,             0.76312,             0.55695,             0.61589,             0.35596,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.7067,              1.0862,               1.301,             0.69779,             0.62979,             0.62836,              0.3859,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.6799,              1.0475,              1.2775,             0.66874,             0.62288,             0.62503,             0.36542,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.6759,              1.0422,              1.2816,             0.71974,             0.64804,             0.65176,             0.39674,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.6656,              1.0222,              1.2929,             0.78319,             0.67322,             0.69911,             0.42034,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
