               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               5.601,              14.139,              5.2998,           0.0006645,            0.083333,          0.00046134,          0.00016446,                   0,                   0,                   0,            0.070099,           0.0033223,           0.0033223
                   1,              5.0419,              8.3839,              4.8737,            0.091808,            0.035549,            0.036399,           0.0096009,                   0,                   0,                   0,            0.040033,           0.0065898,           0.0065898
                   2,              3.3575,              3.5385,              3.0861,             0.38473,             0.19593,             0.18152,            0.063261,                   0,                   0,                   0,           0.0099012,           0.0097912,           0.0097912
                   3,              2.8034,              2.5608,              2.3233,             0.59674,             0.26985,             0.26157,              0.1041,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.4996,              2.0724,              1.9974,             0.47947,             0.40327,             0.41415,             0.17876,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.2941,              1.8016,              1.8399,             0.72849,             0.41878,              0.4516,             0.23372,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.2202,              1.6618,              1.7456,              0.7064,             0.51536,              0.5446,             0.31689,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1443,              1.5396,              1.6462,             0.62663,             0.56741,             0.56558,             0.33002,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.0038,              1.4559,              1.5952,             0.75884,             0.56597,             0.59499,             0.31759,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.9898,               1.415,              1.5493,             0.65309,             0.58883,             0.59273,             0.34076,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.9391,               1.337,              1.5355,             0.70313,             0.61336,             0.59799,             0.33619,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.8785,              1.2483,              1.4891,             0.65579,             0.64474,             0.62507,             0.35365,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.8789,              1.2389,              1.5022,             0.70409,             0.64674,             0.63137,             0.36482,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.8438,              1.1741,               1.481,             0.76321,             0.63673,             0.62309,             0.35869,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.8299,              1.1756,              1.4636,             0.79406,               0.659,             0.66883,             0.39323,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.7786,              1.1268,              1.4522,             0.74242,             0.63006,             0.66821,             0.41273,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.7765,              1.1175,              1.4435,             0.78323,             0.68685,             0.70117,             0.38996,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.7712,              1.1036,              1.4275,              0.7863,             0.62887,             0.67088,             0.37548,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.7582,              1.1148,              1.4568,             0.82144,             0.64336,             0.71039,             0.42544,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.7324,              1.0593,              1.4087,             0.83153,             0.66417,             0.70822,             0.43324,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.7087,              1.0573,              1.3951,             0.83556,             0.66177,             0.69039,             0.40292,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.6975,              1.0526,              1.3922,             0.76956,             0.67712,              0.7072,             0.43349,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.6949,              1.0345,              1.3983,             0.84172,              0.6482,             0.72257,             0.43263,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.6492,              1.0049,              1.4007,             0.80243,              0.7046,             0.73529,             0.45863,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.6742,              1.0009,              1.3839,             0.80582,             0.68769,             0.72223,             0.43008,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.7004,              1.0546,              1.3843,             0.83386,             0.67088,             0.72758,             0.44068,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.6323,              0.9901,              1.3628,             0.76907,             0.70515,              0.7414,             0.44097,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.6162,             0.96659,              1.3455,              0.8299,             0.71432,             0.75569,             0.46045,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.6082,             0.95874,              1.3669,             0.81638,             0.69211,             0.73785,              0.4402,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.6404,             0.99954,               1.356,             0.80799,             0.71978,             0.75126,             0.44391,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.6055,             0.95436,              1.3738,             0.82348,             0.70991,              0.7522,             0.47009,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,               1.582,             0.93637,              1.3606,             0.79543,             0.68812,             0.73564,             0.46304,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.5196,             0.90515,               1.335,             0.82221,             0.73994,             0.77805,             0.46502,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.5932,             0.92339,              1.3493,             0.85205,             0.71809,             0.76257,             0.47164,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,               1.532,             0.90082,              1.3326,             0.82357,             0.71709,             0.76277,             0.46785,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.5417,             0.91195,              1.3282,             0.83899,             0.67308,             0.75271,             0.46205,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
