               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8902,              5.5386,              1.4457,             0.61061,             0.19537,             0.20559,             0.12076,                   0,                   0,                   0,            0.070096,           0.0033227,           0.0033227
                   1,              1.7715,              2.2099,              1.4075,             0.51671,             0.33792,             0.32002,             0.19668,                   0,                   0,                   0,             0.04003,           0.0065901,           0.0065901
                   2,               1.775,              1.6608,              1.4005,             0.80746,             0.39576,             0.45318,             0.28178,                   0,                   0,                   0,           0.0098981,           0.0097916,           0.0097916
                   3,              1.7455,              1.4423,              1.3501,             0.68644,             0.46245,             0.46098,             0.28196,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.7229,              1.2831,              1.3465,             0.63296,             0.56303,             0.57482,             0.35345,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.6701,              1.1857,              1.3105,             0.69275,             0.52645,             0.55553,             0.34943,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.6376,              1.1523,              1.3206,             0.67604,             0.57336,             0.58997,             0.36317,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.6231,              1.0991,              1.2907,             0.64888,             0.56378,              0.5923,             0.36644,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.5781,              1.0437,              1.2889,              0.7794,             0.56983,             0.62583,             0.38774,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.5917,              1.0586,              1.2744,             0.65941,             0.59822,             0.61753,             0.37099,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.5533,              1.0004,              1.2607,             0.69118,             0.62279,              0.6557,             0.40357,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.5283,             0.95508,              1.2445,             0.79851,             0.60861,             0.67472,              0.3983,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.5248,             0.94995,              1.2446,              0.7356,             0.64884,             0.66863,              0.4116,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               1.523,             0.94106,              1.2504,             0.78007,             0.65193,             0.69054,             0.42461,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.5215,             0.94231,              1.2526,             0.72727,              0.6585,             0.68594,             0.41146,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.4851,             0.89628,              1.2279,             0.80688,             0.63813,             0.70753,             0.43765,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,               1.484,             0.89211,              1.2367,             0.72663,             0.68018,                0.71,             0.42401,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.5042,             0.89708,              1.2335,             0.80159,             0.65401,             0.70847,             0.44013,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.4855,             0.88033,               1.226,             0.84108,             0.63369,             0.70149,             0.43309,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,                1.47,             0.86607,              1.2279,             0.79747,             0.67748,             0.72495,             0.45335,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.4457,             0.87376,              1.2202,             0.77147,             0.69204,             0.71561,              0.4461,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.4573,             0.85236,              1.2119,             0.81395,             0.67244,             0.72725,             0.45133,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.4553,              0.8507,              1.2227,             0.84007,             0.66847,             0.74078,             0.45482,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.4451,             0.82419,              1.2121,             0.77392,             0.69826,             0.72353,             0.46332,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.4398,             0.84344,              1.2261,             0.80355,             0.70703,             0.74047,             0.46206,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.4201,             0.82887,              1.2181,             0.79858,             0.70199,             0.73681,             0.45718,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.4259,             0.81537,              1.2109,             0.81638,             0.67186,             0.73176,             0.46636,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.3959,             0.80743,              1.2021,             0.79831,             0.69717,             0.73474,             0.45859,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.4284,             0.81906,              1.2103,             0.79067,             0.72126,             0.75028,             0.46662,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.4189,             0.81843,              1.2108,              0.7875,             0.72754,             0.74756,             0.46728,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.4085,             0.78952,              1.2132,             0.80209,             0.70877,             0.74487,              0.4695,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.3863,             0.78072,              1.1947,             0.77555,             0.73528,              0.7619,             0.48741,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.4079,             0.79612,              1.2056,             0.80845,             0.71138,             0.75351,             0.49128,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.3776,             0.77486,              1.1937,             0.82364,             0.70483,             0.77082,             0.48404,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.4243,             0.79184,              1.2004,              0.8369,              0.7233,             0.76881,             0.48744,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.3554,             0.77216,               1.192,             0.79643,             0.73362,             0.75834,             0.48344,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.4171,             0.78374,                 1.2,             0.79183,              0.7352,              0.7651,             0.47632,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.3784,             0.76436,              1.1868,             0.84218,             0.72416,             0.77616,             0.48899,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.3958,              0.7803,              1.2033,              0.8194,             0.73313,             0.77587,             0.48757,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.3768,             0.76651,              1.1938,             0.80205,             0.74762,             0.77905,             0.49036,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.3675,             0.74146,               1.186,             0.86031,             0.71582,             0.77568,             0.49548,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.3579,              0.7513,              1.1894,              0.8367,             0.72235,             0.77229,             0.49689,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3381,             0.72956,              1.1882,             0.82541,              0.7457,             0.77527,             0.50638,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.3436,              0.7405,              1.1746,             0.81801,             0.72701,             0.76475,             0.49084,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.3465,             0.73675,              1.1767,             0.82427,             0.73694,             0.78322,              0.4999,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,               1.349,             0.74045,              1.1864,             0.81618,             0.74151,              0.7789,             0.50207,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.3298,             0.73385,              1.1844,             0.85774,             0.73369,             0.78616,             0.51173,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.3361,             0.71792,              1.1761,             0.82406,             0.74834,             0.78234,               0.493,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.3505,             0.73432,              1.1867,             0.82818,             0.74787,             0.78456,             0.50696,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.3413,             0.72495,              1.1775,             0.81752,              0.7443,             0.78427,             0.50817,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.3245,             0.70815,              1.1717,             0.85201,             0.71538,             0.78423,             0.51224,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.3128,              0.7001,              1.1708,             0.86251,             0.72398,             0.78792,             0.50899,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.3083,             0.69413,              1.1706,             0.79735,             0.76926,             0.78892,             0.51503,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.3312,             0.70968,              1.1743,             0.80203,             0.76526,              0.7899,             0.51787,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.3294,             0.70957,              1.1736,             0.83375,             0.75324,             0.78629,             0.51444,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.3174,             0.71706,              1.1739,             0.83791,             0.75698,             0.79014,             0.51501,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.2893,             0.68972,              1.1632,               0.838,             0.75827,             0.79453,             0.51661,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.3086,             0.69359,              1.1663,             0.83897,             0.76427,             0.80021,             0.52308,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.3227,             0.70477,              1.1694,             0.85493,             0.74489,             0.79291,             0.51115,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.3105,             0.69011,              1.1719,             0.86267,              0.7423,             0.79211,             0.52446,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.3071,             0.69323,              1.1703,             0.85454,              0.7447,              0.7862,             0.51966,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.3136,             0.70686,               1.165,             0.85097,             0.75734,             0.79653,              0.5235,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.2815,             0.68708,              1.1638,             0.86691,             0.74028,             0.80154,             0.52342,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
