               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.0116,              8.0534,              2.8847,             0.42366,             0.18027,              0.1501,            0.070061,                   0,                   0,                   0,            0.070096,           0.0033227,           0.0033227
                   1,              2.0256,              2.4578,              1.5197,             0.55405,             0.35261,             0.34005,             0.20032,                   0,                   0,                   0,             0.04003,           0.0065901,           0.0065901
                   2,              1.9437,              1.9504,              1.4633,             0.62486,             0.36145,             0.37677,             0.21527,                   0,                   0,                   0,           0.0098981,           0.0097916,           0.0097916
                   3,              2.0141,              1.7731,              1.4381,             0.84118,             0.39088,             0.44238,              0.2532,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9882,              1.6069,              1.4461,             0.69553,             0.49372,             0.48553,             0.28537,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9365,              1.4606,              1.4152,             0.75647,             0.44741,             0.50132,             0.28557,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.8802,              1.4267,              1.4095,             0.55763,             0.50703,             0.51509,             0.30343,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.8493,              1.3477,               1.371,              0.7045,             0.51491,             0.52804,             0.30123,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.7854,              1.2655,              1.3706,             0.81453,             0.54414,             0.58938,             0.34218,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.7805,              1.2571,              1.3445,             0.73343,              0.5713,              0.5964,             0.34521,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.7388,              1.1808,              1.3337,             0.70747,             0.57407,             0.61211,             0.36788,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.7043,              1.1463,              1.3085,             0.80141,             0.57778,             0.60114,              0.3534,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.6987,              1.1302,              1.3063,             0.75362,             0.52904,              0.5903,             0.36584,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.7192,              1.1282,              1.3287,             0.69357,             0.59879,             0.62229,             0.36028,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.6844,              1.1184,              1.3136,             0.56007,             0.59897,             0.58609,             0.34627,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.6325,              1.0581,              1.2904,             0.73639,             0.62768,             0.64896,             0.38755,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.6203,              1.0467,              1.2925,             0.69205,             0.64095,             0.66738,             0.39722,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.6516,              1.0538,              1.2995,             0.63361,             0.59909,             0.60439,             0.35873,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.6268,              1.0243,                1.28,             0.69655,             0.62999,             0.66898,             0.40469,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,               1.604,              1.0096,              1.2801,              0.8247,             0.65305,             0.69535,             0.41287,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.5817,             0.99151,              1.2684,             0.80351,             0.64922,              0.7001,             0.43366,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.5776,              0.9811,              1.2606,              0.7443,             0.67731,             0.69231,             0.42362,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.5766,             0.98004,              1.2659,              0.7478,             0.66075,             0.69407,             0.42494,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.5775,             0.96167,              1.2676,             0.75239,             0.68817,             0.71048,             0.42214,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.5662,             0.95602,              1.2712,             0.73208,             0.69561,              0.7065,             0.42958,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.5255,             0.94361,              1.2582,             0.76934,             0.68134,             0.70185,             0.42681,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.5255,              0.9259,              1.2535,             0.79104,             0.69995,             0.72656,             0.44871,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.5057,              0.9053,              1.2472,             0.77021,             0.68394,             0.70895,             0.43533,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.5251,             0.91377,              1.2388,             0.77061,             0.70074,             0.72603,             0.44277,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.5052,             0.91364,              1.2415,             0.79171,             0.69602,             0.72638,             0.44483,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.4893,             0.87917,              1.2398,             0.76499,             0.68446,             0.71003,             0.43718,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
