               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1315,              9.2158,              2.9796,              0.4042,             0.15311,             0.13461,             0.07023,                   0,                   0,                   0,            0.070113,           0.0033208,           0.0033208
                   1,              2.1775,              2.6034,              1.5706,             0.38596,             0.40203,             0.40085,             0.23049,                   0,                   0,                   0,            0.040047,           0.0065883,           0.0065883
                   2,              1.9888,              1.9306,              1.4501,             0.50437,             0.43213,             0.43534,             0.25168,                   0,                   0,                   0,            0.009915,           0.0097897,           0.0097897
                   3,              2.0859,              1.8293,               1.446,             0.44577,              0.4906,             0.48678,             0.26621,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.0483,              1.6355,              1.4333,             0.51527,             0.46515,             0.49744,             0.27354,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9761,              1.4876,              1.3949,             0.59173,             0.53506,             0.53601,             0.30144,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.9802,              1.4205,              1.3912,             0.57033,             0.51782,             0.52818,              0.2869,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.9551,              1.3908,              1.3915,             0.64823,              0.5273,             0.56426,             0.31061,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.9337,              1.3455,              1.3684,             0.83635,             0.53362,             0.57272,             0.30721,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,               1.842,                1.26,              1.3509,             0.66029,             0.58272,             0.60312,             0.34263,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8355,              1.2077,              1.3336,             0.79947,             0.55491,             0.58356,             0.31206,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               1.814,               1.232,              1.3335,             0.73599,             0.57975,             0.60854,             0.33305,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.7919,               1.171,               1.319,             0.82601,             0.57555,             0.62233,             0.37024,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.7631,              1.1272,              1.2946,             0.85422,             0.59067,             0.66245,             0.37459,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.7677,              1.1608,              1.3261,             0.74606,             0.63449,             0.65671,             0.37885,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.7151,              1.0981,              1.2922,             0.67515,             0.62821,             0.64741,             0.36951,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.7248,              1.0974,              1.2927,             0.79726,             0.59822,             0.64275,             0.38078,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.7067,              1.0625,              1.2802,             0.73325,             0.66619,             0.69271,             0.38829,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.7011,              1.0678,              1.2779,             0.76395,             0.62353,             0.64418,             0.37831,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.6744,              1.0421,              1.2877,              0.7787,             0.64132,             0.65876,             0.37797,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.6769,              1.0536,              1.2633,             0.67009,             0.61114,             0.64587,             0.39044,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.6466,              1.0077,              1.2518,             0.77036,             0.66731,             0.68815,             0.40968,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.6466,              1.0143,              1.2593,             0.81391,             0.66847,             0.70904,             0.41638,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.6269,             0.99151,              1.2481,             0.80133,              0.6458,             0.68053,             0.38889,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.5967,             0.95038,              1.2514,             0.77309,             0.65659,             0.68903,             0.39917,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.6235,             0.97825,              1.2635,             0.77118,             0.68696,             0.71398,             0.42867,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.6165,             0.97872,              1.2508,             0.74386,             0.66665,             0.70307,             0.42057,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.5889,             0.94512,              1.2389,             0.83525,             0.65336,             0.70875,             0.41192,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               1.587,             0.93286,              1.2441,              0.7539,             0.69168,             0.70996,             0.41684,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.5929,             0.94018,              1.2431,             0.83474,             0.67445,             0.73024,             0.42707,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.5578,             0.91286,              1.2276,             0.81614,              0.7008,             0.73823,             0.43663,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.5711,             0.92192,              1.2283,             0.75045,              0.7239,             0.73289,             0.43705,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.5633,              0.9054,              1.2217,             0.81425,             0.69851,             0.73241,             0.44193,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.5565,             0.89622,              1.2258,             0.79879,              0.7027,              0.7252,             0.43411,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.5263,             0.90217,              1.2293,             0.80399,             0.69436,             0.74477,             0.43964,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.5386,             0.90082,              1.2231,             0.81849,             0.71221,             0.74761,             0.45084,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.4849,             0.85935,              1.2134,             0.77201,             0.73851,             0.74034,             0.43413,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.5093,             0.87811,              1.2247,             0.77761,             0.72025,             0.72075,             0.43344,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
